phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,OTAR_0000018,"genetic, familial or congenital disease"
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,EFO_0000589,metabolic disease
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,OTAR_0000020,nutritional or metabolic disease
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,EFO_0000508,genetic disorder
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,EFO_0001444,measurement
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,EFO_0001379,endocrine system disease
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,MONDO_0045024,cancer or benign tumor
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,OTAR_0000010,respiratory or thoracic disease
Red blood cell (erythrocyte) distribution width,SMIM1,EFO_0009188,Red cell distribution width,,,MONDO_0023370,neoplastic disease or syndrome
Median T2star in putamen (right),STAB1,,,,,EFO_0001444,measurement
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0000589,metabolic disease
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,OTAR_0000020,nutritional or metabolic disease
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0001379,endocrine system disease
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,OTAR_0000010,respiratory or thoracic disease
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0000508,genetic disorder
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,OTAR_0000018,"genetic, familial or congenital disease"
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0001444,measurement
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0000618,nervous system disease
HDL cholesterol,LIPG,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0010285,integumentary system disease
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,EFO_0005803,hematologic disease
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,OTAR_0000018,"genetic, familial or congenital disease"
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,EFO_0000589,metabolic disease
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,OTAR_0000020,nutritional or metabolic disease
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,EFO_0000508,genetic disorder
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,EFO_0001444,measurement
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,EFO_0001379,endocrine system disease
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,MONDO_0045024,cancer or benign tumor
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,OTAR_0000010,respiratory or thoracic disease
Red blood cell (erythrocyte) distribution width,TMPRSS6,EFO_0009188,Red cell distribution width,,,MONDO_0023370,neoplastic disease or syndrome
Platelet crit,JAK2,EFO_0007985,platelet crit,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet crit,JAK2,EFO_0007985,platelet crit,,,EFO_0005803,hematologic disease
Platelet crit,JAK2,EFO_0007985,platelet crit,,,EFO_0001444,measurement
Platelet crit,JAK2,EFO_0007985,platelet crit,,,MONDO_0045024,cancer or benign tumor
Total bilirubin,UGT1A3,,,,,EFO_0000508,genetic disorder
Total bilirubin,UGT1A3,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Total bilirubin,UGT1A3,,,,,EFO_0000589,metabolic disease
Total bilirubin,UGT1A3,,,,,OTAR_0000020,nutritional or metabolic disease
Total bilirubin,UGT1A3,,,,,EFO_0001444,measurement
Total bilirubin,UGT1A3,,,,,EFO_0005803,hematologic disease
Pulse rate| automated reading,TTN,EFO_0004326,heart rate,,,EFO_0001444,measurement
Pulse rate| automated reading,TTN,EFO_0004326,heart rate,,,OTAR_0000006,musculoskeletal or connective tissue disease
Pulse rate| automated reading,TTN,EFO_0004326,heart rate,,,MONDO_0000651,thoracic disease
Pulse rate| automated reading,TTN,EFO_0004326,heart rate,,,OTAR_0000010,respiratory or thoracic disease
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,EFO_0001379,endocrine system disease
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean sphered cell volume,SLC4A1,EFO_0004526,mean corpuscular volume,,,EFO_0010282,gastrointestinal disease
Standing height,ADAMTS17,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,ADAMTS17,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,ADAMTS17,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,ADAMTS17,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,ADAMTS17,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,ADAMTS17,EFO_0004339,body height,,,GO_0008150,biological process
Direct bilirubin,UGT1A7,,,,,EFO_0000508,genetic disorder
Direct bilirubin,UGT1A7,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Direct bilirubin,UGT1A7,,,,,EFO_0000589,metabolic disease
Direct bilirubin,UGT1A7,,,,,OTAR_0000020,nutritional or metabolic disease
Direct bilirubin,UGT1A7,,,,,EFO_0001444,measurement
Direct bilirubin,UGT1A7,,,,,EFO_0005803,hematologic disease
Apolipoprotein A,APOA1,,,,,EFO_0000589,metabolic disease
Apolipoprotein A,APOA1,,,,,OTAR_0000020,nutritional or metabolic disease
Apolipoprotein A,APOA1,,,,,EFO_0001379,endocrine system disease
Apolipoprotein A,APOA1,,,,,OTAR_0000010,respiratory or thoracic disease
Apolipoprotein A,APOA1,,,,,EFO_0000508,genetic disorder
Apolipoprotein A,APOA1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Apolipoprotein A,APOA1,,,,,EFO_0001444,measurement
Apolipoprotein A,APOA1,,,,,EFO_0010285,integumentary system disease
Platelet crit,THPO,EFO_0007985,platelet crit,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet crit,THPO,EFO_0007985,platelet crit,,,EFO_0005803,hematologic disease
Platelet crit,THPO,EFO_0007985,platelet crit,,,EFO_0001444,measurement
Platelet crit,THPO,EFO_0007985,platelet crit,,,MONDO_0045024,cancer or benign tumor
Lipoprotein A,MRPL18,,,,,EFO_0001444,measurement
Lipoprotein A,MRPL18,,,,,OTAR_0000010,respiratory or thoracic disease
Lipoprotein A,MRPL18,,,,,OTAR_0000017,reproductive system or breast disease
Lipoprotein A,MRPL18,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,EFO_0000589,metabolic disease
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,OTAR_0000020,nutritional or metabolic disease
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,OTAR_0000010,respiratory or thoracic disease
Mean corpuscular volume,TMPRSS6,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Median T2star in putamen (left),STAB1,,,,,EFO_0001444,measurement
Platelet crit,LY75-CD302,EFO_0007985,platelet crit,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet crit,LY75-CD302,EFO_0007985,platelet crit,,,EFO_0005803,hematologic disease
Platelet crit,LY75-CD302,EFO_0007985,platelet crit,,,EFO_0001444,measurement
Platelet crit,LY75-CD302,EFO_0007985,platelet crit,,,MONDO_0045024,cancer or benign tumor
Glycated haemoglobin (HbA1c),PIEZO1,,,,,EFO_0000508,genetic disorder
Glycated haemoglobin (HbA1c),PIEZO1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Glycated haemoglobin (HbA1c),PIEZO1,,,,,EFO_0001379,endocrine system disease
Glycated haemoglobin (HbA1c),PIEZO1,,,,,EFO_0005803,hematologic disease
Glycated haemoglobin (HbA1c),PIEZO1,,,,,EFO_0001444,measurement
Aspartate aminotransferase,ANO5,,,,,EFO_0010282,gastrointestinal disease
Aspartate aminotransferase,ANO5,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Aspartate aminotransferase,ANO5,,,,,EFO_0000508,genetic disorder
Mean reticulocyte volume,SLC4A1,EFO_0010701,mean reticulocyte volume,,,EFO_0000508,genetic disorder
Mean reticulocyte volume,SLC4A1,EFO_0010701,mean reticulocyte volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean reticulocyte volume,SLC4A1,EFO_0010701,mean reticulocyte volume,,,EFO_0005803,hematologic disease
Mean reticulocyte volume,SLC4A1,EFO_0010701,mean reticulocyte volume,,,MONDO_0045024,cancer or benign tumor
Mean reticulocyte volume,SLC4A1,EFO_0010701,mean reticulocyte volume,,,EFO_0010285,integumentary system disease
Mean reticulocyte volume,SLC4A1,EFO_0010701,mean reticulocyte volume,,,EFO_0001444,measurement
Mean reticulocyte volume,HBB,EFO_0010701,mean reticulocyte volume,,,EFO_0000508,genetic disorder
Mean reticulocyte volume,HBB,EFO_0010701,mean reticulocyte volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean reticulocyte volume,HBB,EFO_0010701,mean reticulocyte volume,,,EFO_0005803,hematologic disease
Mean reticulocyte volume,HBB,EFO_0010701,mean reticulocyte volume,,,MONDO_0045024,cancer or benign tumor
Mean reticulocyte volume,HBB,EFO_0010701,mean reticulocyte volume,,,EFO_0010285,integumentary system disease
Mean reticulocyte volume,HBB,EFO_0010701,mean reticulocyte volume,,,EFO_0001444,measurement
Heel bone mineral density (BMD),MEPE,,,,,EFO_0001444,measurement
Heel bone mineral density (BMD),MEPE,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet distribution width,ASXL1,EFO_0007984,platelet component distribution width,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet distribution width,ASXL1,EFO_0007984,platelet component distribution width,,,EFO_0005803,hematologic disease
Platelet distribution width,ASXL1,EFO_0007984,platelet component distribution width,,,EFO_0001444,measurement
Platelet distribution width,ASXL1,EFO_0007984,platelet component distribution width,,,MONDO_0045024,cancer or benign tumor
Platelet distribution width,ASXL1,EFO_0007984,platelet component distribution width,,,EFO_0000589,metabolic disease
Platelet distribution width,ASXL1,EFO_0007984,platelet component distribution width,,,OTAR_0000020,nutritional or metabolic disease
Heel bone mineral density (BMD) T-score| automated,MEPE,,,,,EFO_0001444,measurement
Heel bone mineral density (BMD) T-score| automated,MEPE,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Heel quantitative ultrasound index (QUI)| direct entry,MEPE,,,,,EFO_0001444,measurement
Heel quantitative ultrasound index (QUI)| direct entry,MEPE,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,EFO_0005803,hematologic disease
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,EFO_0001444,measurement
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,EFO_0000589,metabolic disease
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,OTAR_0000020,nutritional or metabolic disease
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,MONDO_0045024,cancer or benign tumor
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,MONDO_0023370,neoplastic disease or syndrome
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,Orphanet_71859,Rare genetic neurological disorder
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,EFO_0000508,genetic disorder
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,EFO_0000618,nervous system disease
Mean corpuscular haemoglobin,TFR2,EFO_0004527,mean corpuscular hemoglobin,,,OTAR_0000010,respiratory or thoracic disease
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0001444,measurement
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0000508,genetic disorder
Mean platelet (thrombocyte) volume,GP1BB,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0005803,hematologic disease
Mean platelet (thrombocyte) volume,GP1BB,,,,,MONDO_0045024,cancer or benign tumor
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0000616,neoplasm
Mean platelet (thrombocyte) volume,GP1BB,,,,,MONDO_0023370,neoplastic disease or syndrome
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0009386,central nervous system disease
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0000618,nervous system disease
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0004584,mean platelet volume
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0006846,autoimmune disease biomarker
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0005036,platelet measurement
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0004503,hematological measurement
Mean platelet (thrombocyte) volume,GP1BB,,,,,EFO_0010285,integumentary system disease
Mean reticulocyte volume,SPTA1,EFO_0010701,mean reticulocyte volume,,,EFO_0000508,genetic disorder
Mean reticulocyte volume,SPTA1,EFO_0010701,mean reticulocyte volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean reticulocyte volume,SPTA1,EFO_0010701,mean reticulocyte volume,,,EFO_0005803,hematologic disease
Mean reticulocyte volume,SPTA1,EFO_0010701,mean reticulocyte volume,,,MONDO_0045024,cancer or benign tumor
Mean reticulocyte volume,SPTA1,EFO_0010701,mean reticulocyte volume,,,EFO_0010285,integumentary system disease
Mean reticulocyte volume,SPTA1,EFO_0010701,mean reticulocyte volume,,,EFO_0001444,measurement
Standing height,ZFAT,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,ZFAT,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,ZFAT,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,ZFAT,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,ZFAT,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,ZFAT,EFO_0004339,body height,,,GO_0008150,biological process
Age asthma diagnosed by doctor,FLG,,,,,EFO_0010285,integumentary system disease
Speed of sound through heel,MEPE,,,,,EFO_0001444,measurement
Speed of sound through heel,MEPE,,,,,OTAR_0000018,"genetic, familial or congenital disease"
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0000589,metabolic disease
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,OTAR_0000020,nutritional or metabolic disease
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0001379,endocrine system disease
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,OTAR_0000010,respiratory or thoracic disease
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0000508,genetic disorder
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,OTAR_0000018,"genetic, familial or congenital disease"
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0001444,measurement
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0000618,nervous system disease
HDL cholesterol,APOA5,EFO_0004612,high density lipoprotein cholesterol measurement,,,EFO_0010285,integumentary system disease
Standing height,SCUBE3,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,SCUBE3,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,SCUBE3,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,SCUBE3,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,SCUBE3,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,SCUBE3,EFO_0004339,body height,,,GO_0008150,biological process
Direct bilirubin,UGT1A4,,,,,EFO_0000508,genetic disorder
Direct bilirubin,UGT1A4,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Direct bilirubin,UGT1A4,,,,,EFO_0000589,metabolic disease
Direct bilirubin,UGT1A4,,,,,OTAR_0000020,nutritional or metabolic disease
Direct bilirubin,UGT1A4,,,,,EFO_0001444,measurement
Direct bilirubin,UGT1A4,,,,,EFO_0005803,hematologic disease
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0000589,metabolic disease
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,OTAR_0000020,nutritional or metabolic disease
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,OTAR_0000010,respiratory or thoracic disease
Mean corpuscular volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Eosinophill percentage,CSF2RB,,,,,OTAR_0000010,respiratory or thoracic disease
Eosinophill percentage,CSF2RB,,,,,MONDO_0045024,cancer or benign tumor
Eosinophill percentage,CSF2RB,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet count,PTPRH,EFO_0004309,platelet count,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet count,PTPRH,EFO_0004309,platelet count,,,EFO_0005803,hematologic disease
Platelet count,PTPRH,EFO_0004309,platelet count,,,EFO_0001444,measurement
Platelet count,PTPRH,EFO_0004309,platelet count,,,MONDO_0045024,cancer or benign tumor
Platelet crit,CHEK2,EFO_0007985,platelet crit,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet crit,CHEK2,EFO_0007985,platelet crit,,,EFO_0005803,hematologic disease
Platelet crit,CHEK2,EFO_0007985,platelet crit,,,EFO_0001444,measurement
Platelet crit,CHEK2,EFO_0007985,platelet crit,,,MONDO_0045024,cancer or benign tumor
Total bilirubin,SLC4A1,,,,,EFO_0000508,genetic disorder
Total bilirubin,SLC4A1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Total bilirubin,SLC4A1,,,,,EFO_0000589,metabolic disease
Total bilirubin,SLC4A1,,,,,OTAR_0000020,nutritional or metabolic disease
Total bilirubin,SLC4A1,,,,,EFO_0001444,measurement
Total bilirubin,SLC4A1,,,,,EFO_0005803,hematologic disease
Seated height,ACAN,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Seated height,ACAN,,,,,EFO_0001444,measurement
Seated height,ACAN,,,,,EFO_0000508,genetic disorder
Seated height,ACAN,,,,,EFO_0005803,hematologic disease
Seated height,ACAN,,,,,MONDO_0045024,cancer or benign tumor
Seated height,ACAN,,,,,EFO_0000616,neoplasm
Seated height,ACAN,,,,,MONDO_0023370,neoplastic disease or syndrome
Triglycerides,ANGPTL4,EFO_0004530,triglyceride measurement,,,EFO_0000589,metabolic disease
Triglycerides,ANGPTL4,EFO_0004530,triglyceride measurement,,,OTAR_0000020,nutritional or metabolic disease
Triglycerides,ANGPTL4,EFO_0004530,triglyceride measurement,,,OTAR_0000018,"genetic, familial or congenital disease"
Triglycerides,ANGPTL4,EFO_0004530,triglyceride measurement,,,EFO_0001379,endocrine system disease
Triglycerides,ANGPTL4,EFO_0004530,triglyceride measurement,,,OTAR_0000010,respiratory or thoracic disease
Triglycerides,ANGPTL4,EFO_0004530,triglyceride measurement,,,EFO_0001444,measurement
Eosinophill count,CSF2RB,,,,,OTAR_0000010,respiratory or thoracic disease
Eosinophill count,CSF2RB,,,,,MONDO_0045024,cancer or benign tumor
Eosinophill count,CSF2RB,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Monocyte percentage,TET2,EFO_0007989,monocyte percentage of leukocytes,,,EFO_0000540,immune system disease
Monocyte percentage,TET2,EFO_0007989,monocyte percentage of leukocytes,,,OTAR_0000018,"genetic, familial or congenital disease"
Monocyte percentage,TET2,EFO_0007989,monocyte percentage of leukocytes,,,MONDO_0045024,cancer or benign tumor
Monocyte percentage,TET2,EFO_0007989,monocyte percentage of leukocytes,,,EFO_0001444,measurement
Haemoglobin concentration,ACO1,,,,,EFO_0005803,hematologic disease
Haemoglobin concentration,ACO1,,,,,EFO_0001444,measurement
Haemoglobin concentration,ACO1,,,,,EFO_0000508,genetic disorder
Haemoglobin concentration,ACO1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Haemoglobin concentration,ACO1,,,,,EFO_0000589,metabolic disease
Haemoglobin concentration,ACO1,,,,,OTAR_0000020,nutritional or metabolic disease
Haemoglobin concentration,ACO1,,,,,EFO_0009690,urinary system disease
Platelet count,GFI1B,EFO_0004309,platelet count,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet count,GFI1B,EFO_0004309,platelet count,,,EFO_0005803,hematologic disease
Platelet count,GFI1B,EFO_0004309,platelet count,,,EFO_0001444,measurement
Platelet count,GFI1B,EFO_0004309,platelet count,,,MONDO_0045024,cancer or benign tumor
Mean reticulocyte volume,POLE,EFO_0010701,mean reticulocyte volume,,,EFO_0000508,genetic disorder
Mean reticulocyte volume,POLE,EFO_0010701,mean reticulocyte volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean reticulocyte volume,POLE,EFO_0010701,mean reticulocyte volume,,,EFO_0005803,hematologic disease
Mean reticulocyte volume,POLE,EFO_0010701,mean reticulocyte volume,,,MONDO_0045024,cancer or benign tumor
Mean reticulocyte volume,POLE,EFO_0010701,mean reticulocyte volume,,,EFO_0010285,integumentary system disease
Mean reticulocyte volume,POLE,EFO_0010701,mean reticulocyte volume,,,EFO_0001444,measurement
Direct bilirubin,UGT1A3,,,,,EFO_0000508,genetic disorder
Direct bilirubin,UGT1A3,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Direct bilirubin,UGT1A3,,,,,EFO_0000589,metabolic disease
Direct bilirubin,UGT1A3,,,,,OTAR_0000020,nutritional or metabolic disease
Direct bilirubin,UGT1A3,,,,,EFO_0001444,measurement
Direct bilirubin,UGT1A3,,,,,EFO_0005803,hematologic disease
Glucose,GCK,,,,,EFO_0001444,measurement
Glucose,GCK,,,,,EFO_0001379,endocrine system disease
Glucose,GCK,,,,,EFO_0000508,genetic disorder
Glucose,GCK,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,ADAMTS10,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,ADAMTS10,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,ADAMTS10,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,ADAMTS10,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,ADAMTS10,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,ADAMTS10,EFO_0004339,body height,,,GO_0008150,biological process
Gamma glutamyltransferase,UPB1,,,,,EFO_0000508,genetic disorder
Gamma glutamyltransferase,UPB1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Gamma glutamyltransferase,UPB1,,,,,EFO_0001444,measurement
Gamma glutamyltransferase,UPB1,,,,,EFO_0000540,immune system disease
Glycated haemoglobin (HbA1c),PFKM,,,,,EFO_0000508,genetic disorder
Glycated haemoglobin (HbA1c),PFKM,,,,,OTAR_0000018,"genetic, familial or congenital disease"
