acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000111424	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000188786	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000143190	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000105329	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000100219	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000170365	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000102145	both
71	5	ATG_PPRE_CIS	ATG_PPRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PPRE, which is responsive to the endogenous human peroxisome proliferator-activated receptor alpha and peroxisome proliferator-activated receptor delta and peroxisome proliferator-activated receptor gamma [GeneSymbol:PPARA & PPARD & PPARG | GeneID:5465 & 5467 & 5468 | Uniprot_SwissProt_Accession:Q07869 & Q03181 & P37231].	regulation of transcription factor activity	ppara	ENSG00000186951	ENSG00000162599	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000120738	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000091831	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000169856	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000012504	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000143257	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000168610	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000107175	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000101412	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000007372	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000185591	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000106546	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000111087	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000116044	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000182968	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000072310	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000141510	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000144852	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000172216	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000134954	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000125798	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000125347	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000185122	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000158773	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000113580	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000100644	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000118513	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000136997	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000109320	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000106459	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000111424	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000188786	both
72	5	ATG_PXRE_CIS	ATG_PXRE_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element PXRE, which is responsive to the endogenous human nuclear receptor subfamily 1, group I, member 2 [GeneSymbol:NR1I2 | GeneID:8856 | Uniprot_SwissProt_Accession:O75469].	regulation of transcription factor activity	nr1i2	ENSG00000144852	ENSG00000143190	both
